count,fraction,lower_deg_inclusive,mode,n,record_type,scenario,scope,threshold_deg,upper_deg_exclusive
89,0.7355371900826446,,predicted_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,20,
98,0.8099173553719008,,predicted_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,30,
106,0.8760330578512396,,predicted_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,45,
109,0.9008264462809917,,predicted_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,60,
121,1.0,,predicted_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,90,
30,0.19230769230769232,0.0,156_unique_groundtruth_crops,156,histogram_bin,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,,5.0
58,0.3717948717948718,5.0,156_unique_groundtruth_crops,156,histogram_bin,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,,10.0
36,0.23076923076923078,10.0,156_unique_groundtruth_crops,156,histogram_bin,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,,15.0
13,0.08333333333333333,15.0,156_unique_groundtruth_crops,156,histogram_bin,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,,20.0
15,0.09615384615384616,20.0,156_unique_groundtruth_crops,156,histogram_bin,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,,30.0
3,0.019230769230769232,30.0,156_unique_groundtruth_crops,156,histogram_bin,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,,45.0
1,0.00641025641025641,45.0,156_unique_groundtruth_crops,156,histogram_bin,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,,60.0
0,0.0,60.0,156_unique_groundtruth_crops,156,histogram_bin,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,,75.0
0,0.0,75.0,156_unique_groundtruth_crops,156,histogram_bin,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,,90.000001
30,0.19230769230769232,,156_unique_groundtruth_crops,156,cdf_threshold,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,5,
88,0.5641025641025641,,156_unique_groundtruth_crops,156,cdf_threshold,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,10,
124,0.7948717948717948,,156_unique_groundtruth_crops,156,cdf_threshold,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,15,
137,0.8782051282051282,,156_unique_groundtruth_crops,156,cdf_threshold,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,20,
152,0.9743589743589743,,156_unique_groundtruth_crops,156,cdf_threshold,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,30,
155,0.9935897435897436,,156_unique_groundtruth_crops,156,cdf_threshold,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,45,
