name,version,location,direct_url_json
stevedore,5.8.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
superqt,0.8.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
sympy,1.13.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
tabulate,0.10.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
tensorboard,2.20.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
tensorboard-data-server,0.7.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
threadpoolctl,3.6.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
tifffile,2025.5.10,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
tinycss2,1.5.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
tomli,2.4.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
tomli_w,1.2.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
toolz,1.1.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
torch,2.5.1+cu121,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
torchaudio,2.5.1+cu121,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
torchgeometry,0.1.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
torchmetrics,1.9.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
torchvision,0.20.1+cu121,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
tornado,6.5.7,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
tqdm,4.68.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
traitlets,5.15.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
typer,0.25.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
typing-inspection,0.4.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
typing_extensions,4.15.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
tzdata,2026.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
urllib3,2.7.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
uvicorn,0.49.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
virtualenv,21.5.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
vispy,0.14.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
waitress,3.0.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
wcwidth,0.8.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
webencodings,0.5.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
Werkzeug,3.1.8,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
wheel,0.47.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
wrapt,2.2.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
yarl,1.24.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
zarr,2.18.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
zipp,4.1.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
