index,kind,matched_index,matched_iou,mean_probability,status,t,voxel_count,weighted_probability,x,y,z
8,pred,5,0.20283177885155634,0.9643399715423584,tp,2.0,8595,1.2882383524856351,115.49458987783595,150.38150087260036,59.35986038394415
9,pred,6,0.08000496154800296,0.9430440068244934,tp,3.8826836581709148,24012,3.5194959444591762,122.39967516241879,224.0923288355822,97.60482258870564
10,pred,7,0.1724418250177827,0.9494470357894897,tp,2.0,9429,1.391414592390711,127.18771874005726,191.2153993000318,61.776328348711424
11,pred,9,0.18535930154466085,0.9476791024208069,tp,2.0,8481,1.2491901242872938,138.91368942341705,214.82278033250796,59.83268482490272
12,pred,8,0.22170192152430168,0.9265943169593811,tp,2.0,5457,0.7858936161996475,140.1105002748763,248.02528862012093,103.70588235294117
13,pred,11,0.1990800801981366,0.9542633295059204,tp,2.0,8058,1.1951314446483459,164.00632911392404,128.51712583767684,79.15748324646314
14,pred,12,0.22783464043599633,0.9352266788482666,tp,2.0,7128,1.0361073470738693,165.3169191919192,146.74705387205387,137.878367003367
15,pred,13,0.0009668374746205632,0.9364967942237854,tp,2.0,8244,1.1999536004463833,170.2419941775837,225.1783114992722,105.61390101892286
16,pred,39,0.16035493582633498,0.9162302613258362,tp,2.0,5214,0.7424989322005976,170.70138089758342,65.83084004602992,86.52013808975835
17,pred,14,0.19325055714740524,0.9444185495376587,tp,2.0,9135,1.3408902572536703,182.02068965517242,94.8768472906404,66.48768472906404
18,pred,15,0.14597369265319216,0.9510043859481812,tp,2.0,8607,1.2721973829137896,188.04043220634367,167.8055071453468,81.16277448588359
19,pred,16,0.18903464513958967,0.9338356256484985,tp,2.0,8496,1.2331193618782976,194.5021186440678,213.569209039548,89.784604519774
20,pred,18,0.1569227406840783,0.9649950861930847,tp,2.0,8478,1.2715653622979175,208.00601556970983,128.1348195329087,129.15675866949752
21,pred,17,0.19916968277624014,0.9510581493377686,tp,2.0,9156,1.3534213722592505,208.87975098296198,96.54062909567497,45.515072083879424
22,pred,19,0.065041515861188,0.9549434781074524,tp,3.010105353687379,27906,4.1418601601120875,240.7839174371103,198.07901526553428,109.46022360782628
23,pred,20,0.18423502637840072,0.9479667544364929,tp,2.0,9339,1.3759848655801779,247.13684548666882,215.84195309990363,72.05075489881143
24,pred,22,0.430833422488499,0.9556999206542969,tp,2.0,9156,1.3600269331382608,274.83682830930536,61.82372214941022,112.35058977719528
25,pred,23,0.19007092198581566,0.9569355249404907,tp,2.0,7959,1.1837537210317766,277.66113833396156,216.10403316999623,95.18469656992085
26,pred,25,0.2063641720683559,0.9399619698524475,tp,2.0,8127,1.1873006825961812,283.9401993355482,68.23366555924696,138.76190476190476
27,pred,24,0.18626002532714225,0.9509621858596802,tp,2.0,9132,1.3497375361884938,284.4168856767411,188.0607752956636,81.061432325887
28,pred,70,0.10140299445084289,0.9561265110969543,tp,3.0526148969889064,18930,2.813106338428824,294.3229793977813,116.77828843106181,59.78557844690967
29,pred,27,0.2530973451327434,0.9174197912216187,tp,2.0,4971,0.7088136019248454,304.90283645141824,100.002414001207,53.907664453832226
30,pred,28,0.17150480256136602,0.9495784044265747,tp,2.0,8868,1.3088102533858286,318.4174560216509,187.74052774018944,58.93809201623816
31,pred,31,0.14674609757936807,0.9207665920257568,tp,3.9928996793403573,13098,1.874453687068827,73.30508474576271,224.5048098946404,115.87471369674759
32,pred,32,0.24737042199974657,0.954049289226532,tp,3.0,7734,1.1468197275594998,85.01706749418153,233.06089992242048,103.61869666408069
33,pred,33,0.18240541371885577,0.9541144967079163,tp,3.547437121935689,18846,2.794729996278909,103.63865011142948,184.94126074498567,102.29369627507164
34,pred,34,0.17648272305312018,0.9455950856208801,tp,3.0,9297,1.3663696675542716,101.40432397547596,161.73313972249113,142.88706034204583
35,pred,35,0.42495018817799424,0.9572539925575256,tp,3.0,8655,1.2876992229149409,126.01143847487002,229.44298093587523,63.40207972270364
36,pred,36,0.1646717446499819,0.9453430771827698,tp,3.0,7524,1.1054991425319232,149.5761562998405,174.25159489633174,45.27591706539075
37,pred,93,0.0718191222107285,0.9546918272972107,tp,4.396721555216891,26903,3.9919407933673354,161.3313013418578,71.73534550050181,111.96483663531949
38,pred,40,0.18447488584474891,0.9354190230369568,tp,3.0,9564,1.3904838213126913,180.92942283563363,156.59849435382685,67.20577164366374
39,pred,41,0.15150004983554277,0.9537422060966492,tp,3.0,9444,1.3999326914479369,192.13214739517153,84.62261753494282,81.74491740787802
40,pred,62,0.1169622309462569,0.9563926458358765,tp,3.466963107065935,14393,2.1394775236620913,209.07725977905926,150.35871604252068,122.96150906690752
41,pred,83,0.10960012951270848,0.8392478227615356,tp,3.851422550052687,4745,0.6189372414968614,210.6758693361433,67.5968387776607,148.26174920969441
42,pred,42,0.16124736433248255,0.9444374442100525,tp,3.0,8355,1.2264217008064164,218.85026929982047,225.63123877917414,109.32639138240575
43,pred,43,0.25992465951898003,0.9303927421569824,tp,3.0,8826,1.2762930725546389,225.93473827328347,214.73147518694765,66.93915703602991
44,pred,44,0.2143420904273312,0.9329268932342529,tp,3.0,8661,1.2558443791957277,259.7748527883616,134.16418427433322,35.13266366470384
45,pred,45,0.21311475409836067,0.9456499218940735,tp,3.0,9435,1.3867317865423419,272.2496025437202,91.31987281399046,72.27726550079491
46,pred,46,0.2502712477396022,0.9524704217910767,tp,3.0,8262,1.2230856295591008,272.0780682643428,208.859477124183,61.6437908496732
47,pred,69,0.2181149732620321,0.9233999848365784,tp,4.2142092109960725,14005,2.009986549695611,281.781292395573,83.47261692252766,120.55016065690825
48,pred,71,0.18221358504534524,0.9409206509590149,tp,3.674104631539471,10666,1.5598209702768755,305.7612038252391,173.73176448528034,81.14119632477029
49,pred,47,0.19993033786137238,0.9412508010864258,tp,3.0,8226,1.2034117262236768,306.22975929978116,217.76586433260394,113.7618526622903
50,pred,48,0.2427234927234927,0.941371500492096,tp,3.0,7455,1.0907591603292242,319.7440643863179,121.34969818913481,54.23501006036217
51,pred,49,0.19276105060858417,0.9461254477500916,tp,4.0,14403,2.1179800229156296,25.93418037908769,178.17225578004582,108.1426786086232
52,pred,50,0.2717480229070084,0.9413617849349976,tp,4.0,7218,1.0560722151339148,69.52119700748129,92.68661679135495,82.3171238570241
53,pred,51,0.14884393063583812,0.9286528825759888,tp,4.0,11406,1.6462923245264065,80.0228826933193,203.30641767490795,96.0312993161494
54,pred,52,0.19461883408071745,0.9673375487327576,tp,4.0,8547,1.2850260296696634,82.22499122499123,174.8143208143208,117.94699894699895
55,pred,54,0.20241904518110843,0.9507010579109192,tp,4.0,14601,2.15747987422201,99.78693240189028,188.2597082391617,54.152866242038215
56,pred,56,0.16377918863660823,0.9611766338348389,tp,4.0,8706,1.3005948871779027,110.16884906960716,220.7801516195727,59.396623018607855
57,pred,57,0.18353576248313086,0.9429837465286255,tp,4.0,8415,1.233327747848275,135.90338680926916,196.4017825311943,42.741176470588236
58,pred,58,0.19391716997411557,0.9667813777923584,tp,4.0,8961,1.3464955694455016,140.9685302979578,129.19250083696016,38.255440241044525
59,pred,109,0.17759764185703752,0.8900995850563049,tp,6.252175829018398,9077,1.2557439920994589,142.87848408064337,203.08152473284125,108.39748815688003
60,pred,59,0.16767645383460206,0.9520643949508667,tp,4.5442692706344445,18331,2.7125181714258417,146.39855981670394,163.1028312694343,97.05057007255469
61,pred,112,0.1143626570915619,0.905193567276001,tp,5.956153100775194,16512,2.323064744827257,159.5109011627907,82.54003149224806,140.20603197674419
62,pred,38,0.1758160237388724,0.9383062124252319,tp,4.53790028374544,14802,2.1586645853467434,160.08613700851237,219.88832590190515,130.69922983380624
63,pred,64,0.1927591881513988,0.9567303657531738,tp,4.0,8763,1.3030543938306467,249.49469359808285,83.6730571722013,94.92605272167066
64,pred,66,0.1540247678018576,0.9139123558998108,tp,4.0,5346,0.7593704242608107,271.89842873176207,181.75869809203144,45.825476992143656
65,pred,67,0.19976012793176978,0.9380877017974854,tp,4.0,6894,1.0051593030422388,276.08659704090513,162.8881636205396,122.61314186248912
66,pred,68,0.22634797109505278,0.9617264270782471,tp,4.0,8922,1.333625662883112,278.2548755884331,108.6661062542031,85.70746469401479
67,pred,72,0.17199838023891478,0.9432098269462585,tp,4.0,9468,1.3879912909621144,305.8358681875792,221.36121673003802,90.90589353612167
68,pred,73,0.17458887136742507,0.9589160680770874,tp,4.0,8319,1.2398578476989908,322.805625676163,86.38009376126938,81.65705012621709
69,pred,74,0.18505231689088197,0.9350499510765076,tp,5.0,9783,1.4217624513637699,41.584483287335175,125.68506593069611,87.90585709904937
70,pred,75,0.226315220913903,0.9665092825889587,tp,5.0,9243,1.3884784943086814,84.62122687439143,164.25770853618954,93.64524505030835
71,pred,79,0.13785670293574215,0.9392215013504028,tp,5.0,8976,1.310300917492789,135.05447860962568,81.4024064171123,109.7159090909091
72,pred,82,0.15733991252663448,0.9453378319740295,tp,5.0,8211,1.2064331598154125,198.57910120569966,134.8498355864085,41.322616002922906
73,pred,84,0.15401015228426396,0.9608342051506042,tp,5.0,9258,1.3825657906149638,228.97634478289046,164.4951393389501,119.70641607258587
74,pred,85,0.1084070796460177,0.8282685279846191,tp,5.0,1398,0.17996933256817146,233.5343347639485,111.05364806866953,45.201716738197426
75,pred,87,0.16146842309182485,0.9394869208335876,tp,5.0,9882,1.4429648864187852,256.9319975713418,180.4420157862781,68.66970248937461
76,pred,88,0.17643250242797026,0.9334291815757751,tp,5.0,8793,1.2756708220052178,273.431934493347,78.13067212555441,88.03104742408735
77,pred,100,0.1306799336650083,0.9254124760627747,tp,6.811194429566149,14936,2.1482747806511693,267.1189742903053,113.71230583824317,71.21585431173004
78,pred,89,0.15590068256009493,0.9536980390548706,tp,5.0,9576,1.4194339944356114,292.3076441102757,137.7687969924812,96.08521303258145
79,pred,90,0.20203908241291413,0.9131579399108887,tp,5.0,4965,0.704669261526889,300.7546827794562,108.05740181268882,96.9202416918429
80,pred,91,0.2070538157494679,0.9621257185935974,tp,5.0,9801,1.4656233927403481,309.15090296908477,81.05570860116315,106.97826752372207
81,pred,92,0.10855444236485745,0.9443230032920837,tp,6.513395085695269,18029,2.6461373494427516,111.53890953463863,164.5514448943369,47.477397526207774
