match_id,pred_rendered_center_vs_replay_rounded_distance,replay_iou,replay_pred_index,replay_pred_t,replay_spatial_distance_raw_voxels,replay_true_index,replay_true_t,saved_row_present,true_rendered_center_vs_replay_rounded_distance
28,0.0,0.22824675324675325,86,6.0,0.6470413482342922,97,6.0,True,0.0
29,0.0,0.22783464043599633,14,2.0,2.630420706582607,12,2.0,True,0.0
30,0.0,0.22691632533645412,110,8.096835820895523,1.9690431485668005,125,8.0,True,0.0
31,0.0,0.22690437601296598,102,7.0,1.3394590556252566,116,7.0,True,0.0
32,0.0,0.22634797109505278,66,4.0,1.5871095039760896,68,4.0,True,0.0
33,0.0,0.226315220913903,70,5.0,1.1632973057905,75,5.0,True,0.0
34,0.0,0.2237244487365202,116,8.5,4.854879695807003,133,9.0,True,0.0
35,0.0,0.22170192152430168,12,2.0,3.083029750509158,8,2.0,True,0.0
36,0.0,0.2189828312277292,106,8.0,1.750547963495362,122,8.0,True,0.0
37,0.0,0.2181149732620321,47,4.2142092109960725,2.7187993846231318,69,4.5,True,0.0
38,0.0,0.2176902458920872,109,8.0,2.458120338294355,124,8.0,True,0.0
39,0.0,0.21535405468567426,100,7.0,2.6674286109310583,114,7.0,True,0.0
40,0.0,0.2143420904273312,44,3.0,2.464994213557439,44,3.0,True,0.0
41,0.0,0.21311475409836067,45,3.0,1.8385991733692535,45,3.0,True,0.0
42,0.0,0.21301392036257694,105,8.0,2.179632532467036,120,8.0,True,0.0
43,0.0,0.21297998918334238,96,7.0,2.1852105657902703,108,7.0,True,0.0
44,0.0,0.21239351149492358,101,7.0,2.621748018146946,115,7.0,True,0.0
45,0.0,0.21170297707311514,88,6.0,2.3553852125024424,98,6.0,True,0.0
46,0.0,0.20900483481063659,99,7.0,1.678728147379351,95,6.0,True,0.0
47,0.0,0.20792664892043777,103,7.0,0.7639589524273923,118,7.0,True,0.0
48,0.0,0.2070538157494679,80,5.0,2.0281216334231673,91,5.0,True,0.0
49,0.0,0.2063641720683559,26,2.0,3.0254957850529514,25,2.0,True,0.0
50,0.0,0.20528789659224445,1,2.0,2.83976161827292,1,2.0,True,0.0
51,0.0,0.20379092475588745,85,6.0,3.0631077062825462,96,6.0,True,0.0
52,0.0,0.20329829298871638,4,2.0,1.8302658340886255,3,2.0,True,0.0
53,0.0,0.20283177885155634,8,2.0,2.819269914434152,5,2.0,True,0.0
54,0.0,0.20241904518110843,55,4.0,5.218144616988744,54,4.0,True,0.0
55,0.0,0.20203908241291413,79,5.0,3.6840949943979613,90,5.0,True,0.0
56,0.0,0.19993033786137238,49,3.0,3.0982321062372185,47,3.0,True,0.0
57,0.0,0.19976012793176978,65,4.0,3.482012190792412,67,4.0,True,0.0
58,0.0,0.19916968277624014,21,2.0,2.7187918637186073,17,2.0,True,0.0
59,0.0,0.1990800801981366,13,2.0,3.3502987051192017,11,2.0,True,0.0
60,0.0,0.1977451088758705,107,8.0,3.0767672067666654,123,8.0,True,0.0
61,0.0,0.19461883408071745,54,4.0,3.293709866329229,52,4.0,True,0.0
62,0.0,0.19391716997411557,58,4.0,3.261278595488129,58,4.0,True,0.0
63,0.0,0.19325055714740524,17,2.0,3.1814165621908943,14,2.0,True,0.0
64,0.0,0.19276105060858417,51,4.0,3.877672547010621,49,4.0,True,0.0
65,0.0,0.1927591881513988,63,4.0,3.301936567348792,64,4.0,True,0.0
66,0.0,0.1924892478757998,108,8.010584296360298,3.045705589050485,136,9.0,True,0.0
67,0.0,0.1904192917662394,94,7.0,3.2467545327127656,106,7.0,True,0.0
68,0.0,0.19007092198581566,25,2.0,3.5689773554506945,23,2.0,True,0.0
69,0.0,0.18903464513958967,19,2.0,3.45077208908219,16,2.0,True,0.0
70,0.0,0.18626002532714225,27,2.0,3.3739630323260807,24,2.0,True,0.0
71,0.0,0.18610038610038604,0,2.0,2.583357112881613,0,2.0,True,0.0
72,0.0,0.18535930154466085,11,2.0,3.522527778420209,9,2.0,True,0.0
73,0.0,0.18505231689088197,69,5.0,2.4984119031596195,74,5.0,True,0.0
74,0.0,0.18447488584474891,38,3.0,3.36184553818653,40,3.0,True,0.0
75,0.0,0.18423502637840072,23,2.0,3.1744479817971536,20,2.0,True,0.0
76,0.0,0.18353576248313086,57,4.0,3.7248932305791818,57,4.0,True,0.0
77,0.0,0.18240541371885577,33,3.547437121935689,6.968790533019433,33,3.5,True,0.0
78,0.0,0.18221358504534524,48,3.674104631539471,2.1711046970717867,71,4.0,True,0.0
79,0.0,0.17866492146596857,98,7.0,3.811704503858333,111,7.0,True,0.0
80,0.0,0.17759764185703752,59,6.252175829018398,2.867833359133725,109,7.0,True,0.0
81,0.0,0.17648272305312018,34,3.0,3.96494970464849,34,3.0,True,0.0
82,0.0,0.17643250242797026,76,5.0,3.7300910981132924,88,5.0,True,0.0
83,0.0,0.1758160237388724,62,4.53790028374544,6.694336666889967,38,3.5,True,0.0
84,0.0,0.17458887136742507,68,4.0,4.080091246287991,73,4.0,True,0.0
85,0.0,0.1724418250177827,10,2.0,3.868701784964809,7,2.0,True,0.0
86,0.0,0.17224298253237158,97,7.608084358523726,2.7825857682977504,121,8.0,True,0.0
87,0.0,0.17199838023891478,67,4.0,4.091660386477173,72,4.0,True,0.0
88,0.0,0.17150480256136602,30,2.0,4.252098308527096,28,2.0,True,0.0
89,0.0,0.16767645383460206,60,4.5442692706344445,12.747383689354681,59,4.5,True,0.0
90,0.0,0.1646717446499819,36,3.0,4.635099294657435,36,3.0,True,0.0
91,0.0,0.16377918863660823,56,4.0,4.479892760683209,56,4.0,True,0.0
